Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
T1086,2024-02-18,C1086,Female,28,Clothing,4,550,2200
T1087,2024-02-19,C1087,Male,53,Electronics,1,4999,4999
T1088,2024-02-19,C1088,Female,33,Books,6,199,1194
T1089,2024-02-20,C1089,Male,41,Beauty,3,599,1797
T1090,2024-02-20,C1090,Female,24,Home,2,2200,4400
T1091,2024-03-01,C1091,Male,34,Electronics,1,61999,61999
T1092,2024-03-01,C1092,Female,29,Clothing,3,850,2550
T1093,2024-03-02,C1093,Male,47,Sports,2,3200,6400
T1094,2024-03-02,C1094,Female,36,Electronics,1,8499,8499
T1095,2024-03-03,C1095,Male,52,Beauty,4,299,1196
T1096,2024-03-03,C1096,Female,31,Home,2,4500,9000
T1097,2024-03-04,C1097,Male,39,Electronics,2,2499,4998
T1098,2024-03-04,C1098,Female,26,Books,5,249,1245
T1099,2024-03-05,C1099,Male,43,Sports,1,7000,7000
T1100,2024-03-05,C1100,Female,35,Clothing,3,700,2100
T1101,2024-03-06,C1101,Male,48,Electronics,1,7499,7499
T1102,2024-03-06,C1102,Female,27,Beauty,4,350,1400
T1103,2024-03-07,C1103,Male,55,Home,3,1500,4500
T1104,2024-03-07,C1104,Female,32,Electronics,2,4299,8598
T1105,2024-03-08,C1105,Male,40,Sports,2,2500,5000
T1106,2024-03-08,C1106,Female,24,Clothing,4,600,2400
T1107,2024-03-09,C1107,Male,37,Electronics,1,109999,109999
T1108,2024-03-09,C1108,Female,22,Books,6,199,1194
T1109,2024-03-10,C1109,Male,51,Beauty,3,449,1347
T1110,2024-03-10,C1110,Female,38,Home,1,13999,13999
T1111,2024-03-11,C1111,Male,44,Electronics,2,1999,3998
T1112,2024-03-11,C1112,Female,29,Sports,3,2800,8400
T1113,2024-03-12,C1113,Male,35,Clothing,2,950,1900
T1114,2024-03-12,C1114,Female,42,Electronics,1,5499,5499
T1115,2024-03-13,C1115,Male,57,Beauty,4,399,1596
T1116,2024-03-13,C1116,Female,30,Home,2,3200,6400
T1117,2024-03-14,C1117,Male,38,Electronics,1,32999,32999
T1118,2024-03-14,C1118,Female,25,Clothing,3,750,2250
T1119,2024-03-15,C1119,Male,45,Sports,2,3000,6000
T1120,2024-03-15,C1120,Female,33,Books,5,299,1495
T1121,2024-04-01,C1121,Male,49,Electronics,1,4999,4999
T1122,2024-04-01,C1122,Female,27,Clothing,3,500,1500
T1123,2024-04-02,C1123,Male,42,Sports,2,2000,4000
T1124,2024-04-02,C1124,Female,35,Electronics,1,69999,69999
T1125,2024-04-03,C1125,Male,28,Beauty,4,349,1396
T1126,2024-04-03,C1126,Female,41,Home,2,2800,5600
T1127,2024-04-04,C1127,Male,54,Electronics,2,2499,4998
T1128,2024-04-04,C1128,Female,26,Books,5,199,995
T1129,2024-04-05,C1129,Male,37,Sports,1,5500,5500
T1130,2024-04-05,C1130,Female,32,Clothing,3,800,2400
T1131,2024-04-06,C1131,Male,46,Electronics,1,8499,8499
T1132,2024-04-06,C1132,Female,29,Beauty,4,299,1196
T1133,2024-04-07,C1133,Male,53,Home,3,1100,3300
T1134,2024-04-07,C1134,Female,36,Electronics,2,4299,8598
T1135,2024-04-08,C1135,Male,40,Sports,2,2200,4400
T1136,2024-04-08,C1136,Female,24,Clothing,4,650,2600
T1137,2024-04-09,C1137,Male,31,Electronics,1,13999,13999
T1138,2024-04-09,C1138,Female,23,Books,6,249,1494
T1139,2024-04-10,C1139,Male,48,Beauty,3,499,1497
T1140,2024-04-10,C1140,Female,38,Home,1,18999,18999
T1141,2024-04-11,C1141,Male,33,Electronics,2,1999,3998
T1142,2024-04-11,C1142,Female,27,Sports,3,3500,10500
T1143,2024-04-12,C1143,Male,44,Clothing,2,900,1800
T1144,2024-04-12,C1144,Female,39,Electronics,1,5499,5499
T1145,2024-04-13,C1145,Male,56,Beauty,4,349,1396
T1146,2024-04-13,C1146,Female,30,Home,2,3800,7600
T1147,2024-04-14,C1147,Male,37,Electronics,1,61999,61999
T1148,2024-04-14,C1148,Female,25,Clothing,3,700,2100
T1149,2024-04-15,C1149,Male,43,Sports,2,2800,5600
T1150,2024-04-15,C1150,Female,34,Books,5,299,1495
T1151,2024-05-01,C1151,Male,30,Electronics,1,7499,7499
T1152,2024-05-01,C1152,Female,26,Clothing,3,600,1800
T1153,2024-05-02,C1153,Male,47,Sports,2,3000,6000
T1154,2024-05-02,C1154,Female,33,Electronics,1,4999,4999
T1155,2024-05-03,C1155,Male,52,Beauty,4,399,1596
T1156,2024-05-03,C1156,Female,28,Home,2,2500,5000
T1157,2024-05-04,C1157,Male,39,Electronics,2,2499,4998
T1158,2024-05-04,C1158,Female,24,Books,5,199,995
T1159,2024-05-05,C1159,Male,45,Sports,1,6000,6000
T1160,2024-05-05,C1160,Female,36,Clothing,3,750,2250
T1161,2024-05-06,C1161,Male,50,Electronics,1,32999,32999
T1162,2024-05-06,C1162,Female,29,Beauty,4,299,1196
T1163,2024-05-07,C1163,Male,38,Home,3,1200,3600
T1164,2024-05-07,C1164,Female,41,Electronics,2,4299,8598
T1165,2024-05-08,C1165,Male,42,Sports,2,2500,5000
T1166,2024-05-08,C1166,Female,25,Clothing,4,550,2200
T1167,2024-05-09,C1167,Male,34,Electronics,1,89999,89999
T1168,2024-05-09,C1168,Female,22,Books,6,199,1194
T1169,2024-05-10,C1169,Male,49,Beauty,3,499,1497
T1170,2024-05-10,C1170,Female,37,Home,1,13999,13999
T1171,2024-05-11,C1171,Male,55,Electronics,2,1999,3998
T1172,2024-05-11,C1172,Female,31,Sports,3,2800,8400
T1173,2024-05-12,C1173,Male,36,Clothing,2,850,1700
T1174,2024-05-12,C1174,Female,43,Electronics,1,5499,5499
T1175,2024-05-13,C1175,Male,48,Beauty,4,349,1396
T1176,2024-05-13,C1176,Female,27,Home,2,4000,8000
T1177,2024-05-14,C1177,Male,40,Electronics,1,69999,69999
T1178,2024-05-14,C1178,Female,24,Clothing,3,700,2100
T1179,2024-05-15,C1179,Male,46,Sports,2,3200,6400
T1180,2024-05-15,C1180,Female,32,Books,5,249,1245
T1181,2024-06-01,C1181,Male,33,Electronics,1,4999,4999
T1182,2024-06-01,C1182,Female,28,Clothing,3,600,1800
T1183,2024-06-02,C1183,Male,44,Sports,2,2200,4400
T1184,2024-06-02,C1184,Female,37,Electronics,1,8499,8499
T1185,2024-06-03,C1185,Male,51,Beauty,4,299,1196
T1186,2024-06-03,C1186,Female,29,Home,2,3500,7000
T1187,2024-06-04,C1187,Male,38,Electronics,2,2499,4998
T1188,2024-06-04,C1188,Female,23,Books,5,199,995
T1189,2024-06-05,C1189,Male,47,Sports,1,5500,5500
T1190,2024-06-05,C1190,Female,34,Clothing,3,800,2400
T1191,2024-06-06,C1191,Male,53,Electronics,1,13999,13999
T1192,2024-06-06,C1192,Female,26,Beauty,4,399,1596
T1193,2024-06-07,C1193,Male,41,Home,3,900,2700
T1194,2024-06-07,C1194,Female,39,Electronics,2,4299,8598
T1195,2024-06-08,C1195,Male,35,Sports,2,2800,5600
T1196,2024-06-08,C1196,Female,25,Clothing,4,650,2600
T1197,2024-06-09,C1197,Male,49,Electronics,1,61999,61999
T1198,2024-06-09,C1198,Female,21,Books,6,199,1194
T1199,2024-06-10,C1199,Male,56,Beauty,3,499,1497
T1200,2024-06-10,C1200,Female,36,Home,1,18999,18999
T1201,2024-07-01,C1201,Male,30,Electronics,2,1999,3998
T1202,2024-07-01,C1202,Female,27,Sports,3,3000,9000
T1203,2024-07-02,C1203,Male,43,Clothing,2,950,1900
T1204,2024-07-02,C1204,Female,38,Electronics,1,5499,5499
T1205,2024-07-03,C1205,Male,55,Beauty,4,349,1396
T1206,2024-07-03,C1206,Female,31,Home,2,2800,5600
T1207,2024-07-04,C1207,Male,37,Electronics,1,32999,32999
T1208,2024-07-04,C1208,Female,25,Clothing,3,700,2100
T1209,2024-07-05,C1209,Male,48,Sports,2,2500,5000
T1210,2024-07-05,C1210,Female,33,Books,5,299,1495
T1211,2024-07-06,C1211,Male,42,Electronics,1,7499,7499
T1212,2024-07-06,C1212,Female,28,Beauty,4,299,1196
T1213,2024-07-07,C1213,Male,54,Home,3,1500,4500
T1214,2024-07-07,C1214,Female,35,Electronics,2,4299,8598
T1215,2024-07-08,C1215,Male,39,Sports,2,3200,6400
T1216,2024-07-08,C1216,Female,24,Clothing,4,600,2400
T1217,2024-07-09,C1217,Male,46,Electronics,1,109999,109999
T1218,2024-07-09,C1218,Female,22,Books,6,249,1494
T1219,2024-07-10,C1219,Male,51,Beauty,3,449,1347
T1220,2024-07-10,C1220,Female,40,Home,1,13999,13999
T1221,2024-07-11,C1221,Male,34,Electronics,2,2499,4998
T1222,2024-07-11,C1222,Female,29,Sports,3,2200,6600
T1223,2024-07-12,C1223,Male,45,Clothing,2,850,1700
T1224,2024-07-12,C1224,Female,36,Electronics,1,4999,4999
T1225,2024-07-13,C1225,Male,52,Beauty,4,399,1596
T1226,2024-07-13,C1226,Female,27,Home,2,3800,7600
T1227,2024-07-14,C1227,Male,38,Electronics,1,89999,89999
T1228,2024-07-14,C1228,Female,24,Clothing,3,750,2250
T1229,2024-07-15,C1229,Male,44,Sports,2,2800,5600
T1230,2024-07-15,C1230,Female,31,Books,5,199,995
T1231,2024-08-01,C1231,Male,32,Electronics,1,8499,8499
T1232,2024-08-01,C1232,Female,26,Clothing,3,600,1800
T1233,2024-08-02,C1233,Male,47,Sports,2,2500,5000
T1234,2024-08-02,C1234,Female,34,Electronics,1,5499,5499
T1235,2024-08-03,C1235,Male,50,Beauty,4,299,1196
T1236,2024-08-03,C1236,Female,29,Home,2,2200,4400
T1237,2024-08-04,C1237,Male,39,Electronics,2,4299,8598
T1238,2024-08-04,C1238,Female,23,Books,5,249,1245
T1239,2024-08-05,C1239,Male,45,Sports,1,6000,6000
T1240,2024-08-05,C1240,Female,36,Clothing,3,800,2400
T1241,2024-08-06,C1241,Male,53,Electronics,1,69999,69999
T1242,2024-08-06,C1242,Female,28,Beauty,4,349,1396
T1243,2024-08-07,C1243,Male,40,Home,3,1200,3600
T1244,2024-08-07,C1244,Female,41,Electronics,2,1999,3998
T1245,2024-08-08,C1245,Male,48,Sports,2,3000,6000
T1246,2024-08-08,C1246,Female,25,Clothing,4,700,2800
T1247,2024-08-09,C1247,Male,35,Electronics,1,13999,13999
T1248,2024-08-09,C1248,Female,21,Books,6,199,1194
T1249,2024-08-10,C1249,Male,57,Beauty,3,499,1497
T1250,2024-08-10,C1250,Female,37,Home,1,18999,18999
T1251,2024-09-01,C1251,Male,33,Electronics,2,2499,4998
T1252,2024-09-01,C1252,Female,27,Sports,3,2800,8400
T1253,2024-09-02,C1253,Male,44,Clothing,2,900,1800
T1254,2024-09-02,C1254,Female,39,Electronics,1,4999,4999
T1255,2024-09-03,C1255,Male,51,Beauty,4,299,1196
T1256,2024-09-03,C1256,Female,30,Home,2,3500,7000
T1257,2024-09-04,C1257,Male,38,Electronics,1,32999,32999
T1258,2024-09-04,C1258,Female,25,Clothing,3,750,2250
T1259,2024-09-05,C1259,Male,46,Sports,2,3200,6400
T1260,2024-09-05,C1260,Female,32,Books,5,299,1495
T1261,2024-10-01,C1261,Male,41,Electronics,1,89999,89999
T1262,2024-10-01,C1262,Female,28,Clothing,4,850,3400
T1263,2024-10-02,C1263,Male,55,Sports,3,3500,10500
T1264,2024-10-02,C1264,Female,35,Electronics,2,5499,10998
T1265,2024-10-03,C1265,Male,43,Beauty,5,449,2245
T1266,2024-10-03,C1266,Female,29,Home,3,4500,13500
T1267,2024-10-04,C1267,Male,37,Electronics,2,4299,8598
T1268,2024-10-04,C1268,Female,24,Books,8,299,2392
T1269,2024-10-05,C1269,Male,50,Sports,4,3200,12800
T1270,2024-10-05,C1270,Female,36,Clothing,5,900,4500
T1271,2024-10-06,C1271,Male,47,Electronics,2,7499,14998
T1272,2024-10-06,C1272,Female,31,Beauty,6,399,2394
T1273,2024-10-07,C1273,Male,39,Home,4,1500,6000
T1274,2024-10-07,C1274,Female,42,Electronics,3,2499,7497
T1275,2024-10-08,C1275,Male,45,Sports,3,2800,8400
T1276,2024-10-08,C1276,Female,26,Clothing,5,700,3500
T1277,2024-10-09,C1277,Male,52,Electronics,2,13999,27998
T1278,2024-10-09,C1278,Female,33,Books,7,249,1743
T1279,2024-10-10,C1279,Male,38,Beauty,4,499,1996
T1280,2024-10-10,C1280,Female,27,Home,3,2800,8400
T1281,2024-10-11,C1281,Male,44,Electronics,1,109999,109999
T1282,2024-10-11,C1282,Female,30,Clothing,4,800,3200
T1283,2024-10-12,C1283,Male,56,Sports,3,3000,9000
T1284,2024-10-12,C1284,Female,37,Electronics,2,8499,16998
T1285,2024-10-13,C1285,Male,41,Beauty,5,349,1745
T1286,2024-10-13,C1286,Female,25,Home,3,3500,10500
T1287,2024-10-14,C1287,Male,35,Electronics,3,1999,5997
T1288,2024-10-14,C1288,Female,22,Books,8,199,1592
T1289,2024-10-15,C1289,Male,48,Sports,4,2200,8800
T1290,2024-10-15,C1290,Female,39,Clothing,5,650,3250
T1291,2024-10-16,C1291,Male,53,Electronics,2,61999,123998
T1292,2024-10-16,C1292,Female,28,Beauty,6,299,1794
T1293,2024-10-17,C1293,Male,40,Home,4,1200,4800
T1294,2024-10-17,C1294,Female,43,Electronics,3,4299,12897
T1295,2024-10-18,C1295,Male,46,Sports,3,2500,7500
T1296,2024-10-18,C1296,Female,31,Clothing,5,550,2750
T1297,2024-10-19,C1297,Male,34,Electronics,2,5499,10998
T1298,2024-10-19,C1298,Female,26,Books,7,249,1743
T1299,2024-10-20,C1299,Male,49,Beauty,4,449,1796
T1300,2024-10-20,C1300,Female,38,Home,3,4000,12000
T1301,2024-10-21,C1301,Male,36,Electronics,1,32999,32999
T1302,2024-10-21,C1302,Female,27,Clothing,4,750,3000
T1303,2024-10-22,C1303,Male,44,Sports,3,3200,9600
T1304,2024-10-22,C1304,Female,33,Electronics,2,7499,14998
T1305,2024-10-23,C1305,Male,51,Beauty,5,399,1995
T1306,2024-10-23,C1306,Female,29,Home,3,2200,6600
T1307,2024-10-24,C1307,Male,38,Electronics,2,4999,9998
T1308,2024-10-24,C1308,Female,24,Books,8,199,1592
T1309,2024-10-25,C1309,Male,47,Sports,4,2800,11200
T1310,2024-10-25,C1310,Female,35,Clothing,5,800,4000
T1311,2024-10-26,C1311,Male,42,Electronics,2,13999,27998
T1312,2024-10-26,C1312,Female,28,Beauty,6,299,1794
T1313,2024-10-27,C1313,Male,55,Home,4,1500,6000
T1314,2024-10-27,C1314,Female,40,Electronics,3,2499,7497
T1315,2024-10-28,C1315,Male,39,Sports,3,3000,9000
T1316,2024-10-28,C1316,Female,25,Clothing,5,700,3500
T1317,2024-10-29,C1317,Male,45,Electronics,2,8499,16998
T1318,2024-10-29,C1318,Female,32,Books,7,299,2093
T1319,2024-10-30,C1319,Male,50,Beauty,4,499,1996
T1320,2024-10-30,C1320,Female,37,Home,3,3800,11400
T1321,2024-10-31,C1321,Male,33,Electronics,3,5499,16497
T1322,2024-10-31,C1322,Female,26,Clothing,5,600,3000
T1323,2024-11-01,C1323,Male,48,Sports,4,3500,14000
T1324,2024-11-01,C1324,Female,34,Electronics,2,7499,14998
T1325,2024-11-02,C1325,Male,41,Beauty,5,349,1745
T1326,2024-11-02,C1326,Female,28,Home,3,4500,13500
T1327,2024-11-03,C1327,Male,37,Electronics,3,4299,12897
T1328,2024-11-03,C1328,Female,23,Books,8,249,1992
T1329,2024-11-04,C1329,Male,52,Sports,4,2200,8800
T1330,2024-11-04,C1330,Female,39,Clothing,5,900,4500
T1331,2024-11-05,C1331,Male,44,Electronics,2,13999,27998
T1332,2024-11-05,C1332,Female,29,Beauty,6,399,2394
T1333,2024-11-06,C1333,Male,56,Home,4,1200,4800
T1334,2024-11-06,C1334,Female,36,Electronics,3,2499,7497
T1335,2024-11-07,C1335,Male,40,Sports,3,2800,8400
T1336,2024-11-07,C1336,Female,25,Clothing,5,750,3750
T1337,2024-11-08,C1337,Male,35,Electronics,2,61999,123998
T1338,2024-11-08,C1338,Female,22,Books,7,199,1393
T1339,2024-11-09,C1339,Male,49,Beauty,4,449,1796
T1340,2024-11-09,C1340,Female,38,Home,3,2800,8400
T1341,2024-11-10,C1341,Male,43,Electronics,2,89999,179998
T1342,2024-11-10,C1342,Female,30,Clothing,4,850,3400
T1343,2024-11-11,C1343,Male,47,Sports,3,3200,9600
T1344,2024-11-11,C1344,Female,33,Electronics,2,5499,10998
T1345,2024-11-12,C1345,Male,54,Beauty,5,299,1495
T1346,2024-11-12,C1346,Female,27,Home,3,3500,10500
T1347,2024-11-13,C1347,Male,38,Electronics,3,1999,5997
T1348,2024-11-13,C1348,Female,24,Books,8,299,2392
T1349,2024-11-14,C1349,Male,51,Sports,4,3000,12000
T1350,2024-11-14,C1350,Female,40,Clothing,5,700,3500
T1351,2024-11-15,C1351,Male,34,Electronics,2,8499,16998
T1352,2024-11-15,C1352,Female,28,Beauty,6,349,2094
T1353,2024-11-16,C1353,Male,45,Home,4,1500,6000
T1354,2024-11-16,C1354,Female,37,Electronics,3,4299,12897
T1355,2024-11-17,C1355,Male,53,Sports,3,2500,7500
T1356,2024-11-17,C1356,Female,26,Clothing,5,600,3000
T1357,2024-11-18,C1357,Male,39,Electronics,2,7499,14998
T1358,2024-11-18,C1358,Female,23,Books,7,249,1743
T1359,2024-11-19,C1359,Male,46,Beauty,4,499,1996
T1360,2024-11-19,C1360,Female,35,Home,3,4000,12000
T1361,2024-11-20,C1361,Male,32,Electronics,3,4999,14997
T1362,2024-11-20,C1362,Female,29,Clothing,5,800,4000
T1363,2024-11-21,C1363,Male,48,Sports,4,3500,14000
T1364,2024-11-21,C1364,Female,36,Electronics,2,13999,27998
T1365,2024-11-22,C1365,Male,41,Beauty,5,399,1995
T1366,2024-11-22,C1366,Female,27,Home,3,2200,6600
T1367,2024-11-23,C1367,Male,55,Electronics,2,109999,219998
T1368,2024-11-23,C1368,Female,24,Books,8,199,1592
T1369,2024-11-24,C1369,Male,43,Sports,4,2800,11200
T1370,2024-11-24,C1370,Female,38,Clothing,5,950,4750
T1371,2024-11-25,C1371,Male,37,Electronics,3,2499,7497
T1372,2024-11-25,C1372,Female,30,Beauty,6,299,1794
T1373,2024-11-26,C1373,Male,50,Home,4,1800,7200
T1374,2024-11-26,C1374,Female,25,Electronics,2,5499,10998
T1375,2024-11-27,C1375,Male,44,Sports,3,3000,9000
T1376,2024-11-27,C1376,Female,33,Clothing,5,700,3500
T1377,2024-11-28,C1377,Male,38,Electronics,2,32999,65998
T1378,2024-11-28,C1378,Female,22,Books,7,299,2093
T1379,2024-11-29,C1379,Male,47,Beauty,4,449,1796
T1380,2024-11-29,C1380,Female,39,Home,3,3800,11400
T1381,2024-11-30,C1381,Male,35,Electronics,3,8499,25497
T1382,2024-11-30,C1382,Female,28,Clothing,5,650,3250
T1383,2024-12-01,C1383,Male,52,Sports,4,2200,8800
T1384,2024-12-01,C1384,Female,34,Electronics,2,61999,123998
T1385,2024-12-02,C1385,Male,40,Beauty,5,349,1745
T1386,2024-12-02,C1386,Female,29,Home,3,4500,13500
T1387,2024-12-03,C1387,Male,46,Electronics,3,4299,12897
T1388,2024-12-03,C1388,Female,23,Books,8,249,1992
T1389,2024-12-04,C1389,Male,57,Sports,4,3200,12800
T1390,2024-12-04,C1390,Female,37,Clothing,5,900,4500
T1391,2024-12-05,C1391,Male,41,Electronics,2,7499,14998
T1392,2024-12-05,C1392,Female,26,Beauty,6,299,1794
T1393,2024-12-06,C1393,Male,48,Home,4,1200,4800
T1394,2024-12-06,C1394,Female,40,Electronics,3,2499,7497
T1395,2024-12-07,C1395,Male,33,Sports,3,2800,8400
T1396,2024-12-07,C1396,Female,25,Clothing,5,750,3750
T1397,2024-12-08,C1397,Male,45,Electronics,2,89999,179998
T1398,2024-12-08,C1398,Female,32,Books,7,199,1393
T1399,2024-12-09,C1399,Male,53,Beauty,4,499,1996
T1400,2024-12-09,C1400,Female,36,Home,3,2800,8400
T1401,2024-12-10,C1401,Male,39,Electronics,3,13999,41997
T1402,2024-12-10,C1402,Female,27,Clothing,5,800,4000
T1403,2024-12-11,C1403,Male,44,Sports,4,3500,14000
T1404,2024-12-11,C1404,Female,31,Electronics,2,5499,10998
T1405,2024-12-12,C1405,Male,50,Beauty,5,399,1995
T1406,2024-12-12,C1406,Female,28,Home,3,3500,10500
T1407,2024-12-13,C1407,Male,37,Electronics,3,4999,14997
T1408,2024-12-13,C1408,Female,24,Books,8,299,2392
T1409,2024-12-14,C1409,Male,55,Sports,4,3000,12000
T1410,2024-12-14,C1410,Female,38,Clothing,5,700,3500
T1411,2024-12-15,C1411,Male,42,Electronics,2,7499,14998
T1412,2024-12-15,C1412,Female,29,Beauty,6,349,2094
T1413,2024-12-16,C1413,Male,46,Home,4,1500,6000
T1414,2024-12-16,C1414,Female,35,Electronics,3,2499,7497
T1415,2024-12-17,C1415,Male,51,Sports,3,2200,6600
T1416,2024-12-17,C1416,Female,26,Clothing,5,650,3250
T1417,2024-12-18,C1417,Male,38,Electronics,2,109999,219998
T1418,2024-12-18,C1418,Female,23,Books,7,249,1743
T1419,2024-12-19,C1419,Male,48,Beauty,4,449,1796
T1420,2024-12-19,C1420,Female,40,Home,3,4000,12000
T1421,2024-12-20,C1421,Male,34,Electronics,3,8499,25497
T1422,2024-12-20,C1422,Female,27,Clothing,5,850,4250
T1423,2024-12-21,C1423,Male,43,Sports,4,2800,11200
T1424,2024-12-21,C1424,Female,33,Electronics,2,4299,8598
T1425,2024-12-22,C1425,Male,57,Beauty,5,299,1495
T1426,2024-12-22,C1426,Female,29,Home,3,2200,6600
T1427,2024-12-23,C1427,Male,40,Electronics,3,61999,185997
T1428,2024-12-23,C1428,Female,22,Books,8,199,1592
T1429,2024-12-24,C1429,Male,47,Sports,4,3500,14000
T1430,2024-12-24,C1430,Female,36,Clothing,6,900,5400
T1431,2024-12-25,C1431,Male,52,Electronics,3,13999,41997
T1432,2024-12-25,C1432,Female,30,Beauty,6,399,2394
T1433,2024-12-26,C1433,Male,44,Home,4,1800,7200
T1434,2024-12-26,C1434,Female,37,Electronics,3,5499,16497
T1435,2024-12-27,C1435,Male,39,Sports,4,3200,12800
